"Libellé";"Nuitées dans l'hôtellerie - Non-résidents - Départements d'outre-mer";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Normandie";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Non-résidents - Corse";"Codes"
"idBank";"010599694";"";"010598561";"";"010598559";"";"010598626";"";"010598632";"";"010598637";"";"010598562";"";"010598558";"";"010598643";"";"010598649";"";"010598655";"";"010598563";"";"010598560";""
"Dernière mise à jour";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-08";"32.18";"P";"3929";"P";"205";"P";"350";"P";"269";"P";"659";"P";"129";"P";"262";"P";"506";"P";"530";"P";"712";"P";"1326";"P";"186.7";"P"
"2023-07";"43.91";"A";"4089";"A";"205";"A";"307";"A";"260";"A";"639";"A";"123";"A";"214";"A";"469";"A";"536";"A";"742";"A";"1334";"A";"171.5";"A"
"2023-06";"34.58";"A";"3910";"A";"150";"A";"244";"A";"209";"A";"499";"A";"99";"A";"158";"A";"306";"A";"382";"A";"531";"A";"1068";"A";"120.2";"A"
"2023-05";"39.49";"A";"3652";"A";"119";"A";"202";"A";"196";"A";"468";"A";"72";"A";"109";"A";"253";"A";"390";"A";"378";"A";"829";"A";"81.9";"A"
"2023-04";"55.91";"A";"3715";"A";"88";"A";"150";"A";"185";"A";"450";"A";"59";"A";"73";"A";"221";"A";"313";"A";"458";"A";"694";"A";"30.0";"A"
"2023-03";"56.69";"A";"2938";"A";"44";"A";"76";"A";"123";"A";"254";"A";"39";"A";"41";"A";"123";"A";"124";"A";"655";"A";"391";"A";"4.1";"A"
"2023-02";"51.56";"A";"2419";"A";"32";"A";"53";"A";"103";"A";"230";"A";"35";"A";"28";"A";"86";"A";"115";"A";"646";"A";"244";"A";"2.5";"A"
"2023-01";"62.37";"A";"2630";"A";"32";"A";"47";"A";"88";"A";"208";"A";"29";"A";"26";"A";"88";"A";"103";"A";"659";"A";"237";"A";"2.5";"A"
