"Libellé";"Nuitées dans l'hôtellerie - Résidents - Départements d'outre-mer";"Codes";"Nuitées dans l'hôtellerie - Résidents - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Résidents - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Résidents - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie - Résidents - Normandie";"Codes";"Nuitées dans l'hôtellerie - Résidents - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Résidents - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Résidents - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Résidents - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Résidents - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Résidents - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Résidents - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Résidents - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Résidents - Corse";"Codes"
"idBank";"010599697";"";"010598554";"";"010598553";"";"010598619";"";"010598625";"";"010598631";"";"010598636";"";"010598555";"";"010598552";"";"010598642";"";"010598648";"";"010598654";"";"010598556";"";"010598550";""
"Dernière mise à jour";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-08";"408.43";"P";"2075";"P";"508";"P";"495";"P";"653";"P";"613";"P";"817";"P";"738";"P";"845";"P";"1679";"P";"1651";"P";"1921";"P";"1975";"P";"420.8";"P"
"2023-07";"348.32";"A";"2523";"A";"500";"A";"499";"A";"599";"A";"610";"A";"797";"A";"675";"A";"694";"A";"1429";"A";"1362";"A";"1785";"A";"1723";"A";"336.8";"A"
"2023-06";"249.11";"A";"2859";"A";"490";"A";"497";"A";"608";"A";"678";"A";"852";"A";"669";"A";"661";"A";"1247";"A";"1167";"A";"1539";"A";"1529";"A";"313.0";"A"
"2023-05";"337.03";"A";"2720";"A";"526";"A";"502";"A";"635";"A";"711";"A";"879";"A";"639";"A";"674";"A";"1293";"A";"1161";"A";"1471";"A";"1457";"A";"263.5";"A"
"2023-04";"385.82";"A";"2554";"A";"453";"A";"413";"A";"539";"A";"645";"A";"759";"A";"563";"A";"582";"A";"1172";"A";"1033";"A";"1361";"A";"1306";"A";"135.9";"A"
"2023-03";"378.18";"A";"2600";"A";"355";"A";"368";"A";"415";"A";"537";"A";"676";"A";"446";"A";"446";"A";"908";"A";"726";"A";"1556";"A";"1045";"A";"43.0";"A"
"2023-02";"376.55";"A";"2258";"A";"294";"A";"353";"A";"397";"A";"473";"A";"615";"A";"375";"A";"410";"A";"803";"A";"673";"A";"1691";"A";"1010";"A";"37.6";"A"
"2023-01";"393.06";"A";"2398";"A";"259";"A";"289";"A";"315";"A";"452";"A";"559";"A";"350";"A";"333";"A";"653";"A";"597";"A";"1463";"A";"813";"A";"30.4";"A"
"2022-12";"399.96";"A";"2706";"A";"320";"A";"336";"A";"367";"A";"547";"A";"945";"A";"365";"A";"371";"A";"759";"A";"673";"A";"1386";"A";"849";"A";"36.1";"A"
"2022-11";"346.47";"A";"2736";"A";"354";"A";"368";"A";"454";"A";"570";"A";"746";"A";"441";"A";"469";"A";"888";"A";"722";"A";"1121";"A";"922";"A";"48.1";"A"
"2022-10";"334.07";"A";"2896";"A";"440";"A";"439";"A";"537";"A";"657";"A";"836";"A";"563";"A";"567";"A";"1217";"A";"1055";"A";"1381";"A";"1311";"A";"180.5";"A"
"2022-09";"210.58";"A";"2661";"A";"456";"A";"474";"A";"588";"A";"643";"A";"855";"A";"637";"A";"682";"A";"1315";"A";"1216";"A";"1539";"A";"1507";"A";"368.9";"A"
"2022-08";"417.42";"A";"2280";"A";"555";"A";"535";"A";"748";"A";"652";"A";"872";"A";"799";"A";"911";"A";"1860";"A";"1802";"A";"2130";"A";"2148";"A";"490.6";"A"
"2022-07";"361.83";"A";"2744";"A";"524";"A";"524";"A";"680";"A";"669";"A";"830";"A";"719";"A";"743";"A";"1569";"A";"1474";"A";"1969";"A";"1890";"A";"402.3";"A"
"2022-06";"247.87";"A";"2810";"A";"491";"A";"493";"A";"614";"A";"687";"A";"858";"A";"680";"A";"663";"A";"1305";"A";"1254";"A";"1602";"A";"1685";"A";"363.6";"A"
"2022-05";"331.96";"A";"2716";"A";"489";"A";"474";"A";"640";"A";"675";"A";"830";"A";"633";"A";"678";"A";"1276";"A";"1159";"A";"1469";"A";"1478";"A";"277.3";"A"
"2022-04";"365.93";"A";"2515";"A";"412";"A";"393";"A";"528";"A";"619";"A";"726";"A";"548";"A";"559";"A";"1103";"A";"936";"A";"1326";"A";"1245";"A";"128.5";"A"
"2022-03";"346.27";"A";"2541";"A";"331";"A";"379";"A";"453";"A";"553";"A";"647";"A";"475";"A";"480";"A";"893";"A";"741";"A";"1641";"A";"1059";"A";"49.8";"A"
"2022-02";"316.28";"A";"2017";"A";"275";"A";"346";"A";"389";"A";"446";"A";"570";"A";"366";"A";"391";"A";"744";"A";"686";"A";"1687";"A";"1003";"A";"33.9";"A"
"2022-01";"326.12";"A";"1699";"A";"217";"A";"241";"A";"288";"A";"383";"A";"465";"A";"288";"A";"289";"A";"542";"A";"521";"A";"1275";"A";"693";"A";"21.6";"A"
"2021-12";"332.66";"A";"2484";"A";"292";"A";"323";"A";"364";"A";"506";"A";"893";"A";"346";"A";"369";"A";"726";"A";"628";"A";"1412";"A";"803";"A";"33.5";"A"
"2021-11";"323.01";"A";"2530";"A";"339";"A";"356";"A";"462";"A";"561";"A";"702";"A";"453";"A";"461";"A";"904";"A";"713";"A";"1130";"A";"878";"A";"50.6";"A"
"2021-10";"284.77";"A";"2675";"A";"437";"A";"436";"A";"556";"A";"634";"A";"817";"A";"577";"A";"583";"A";"1240";"A";"1057";"A";"1398";"A";"1249";"A";"205.3";"A"
"2021-09";"159.69";"A";"2134";"A";"466";"A";"469";"A";"580";"A";"603";"A";"818";"A";"648";"A";"714";"A";"1333";"A";"1208";"A";"1533";"A";"1550";"A";"397.9";"A"
"2021-08";"238.47";"A";"1869";"A";"599";"A";"566";"A";"758";"A";"597";"A";"824";"A";"817";"A";"973";"A";"2070";"A";"1952";"A";"2283";"A";"2646";"A";"567.6";"A"
"2021-07";"365.0";"A";"2140";"A";"539";"A";"531";"A";"648";"A";"577";"A";"758";"A";"736";"A";"801";"A";"1669";"A";"1530";"A";"1983";"A";"2087";"A";"455.4";"A"
"2021-06";"171.36";"A";"1757";"A";"382";"A";"385";"A";"494";"A";"501";"A";"596";"A";"514";"A";"588";"A";"1071";"A";"934";"A";"1245";"A";"1320";"A";"307.2";"A"
"2021-05";"172.4";"A";"1222";"A";"247";"A";"252";"A";"403";"A";"360";"A";"387";"A";"347";"A";"399";"A";"724";"A";"623";"A";"839";"A";"915";"A";"128.9";"A"
"2021-04";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2021-03";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2021-02";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2021-01";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2020-12";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2020-11";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2020-10";"244.72";"A";"1504";"A";"356";"A";"343";"A";"453";"A";"463";"A";"613";"A";"454";"A";"519";"A";"939";"A";"713";"A";"982";"A";"815";"A";"155.5";"A"
"2020-09";"148.46";"A";"1543";"A";"390";"A";"418";"A";"545";"A";"500";"A";"664";"A";"538";"A";"650";"A";"1159";"A";"1032";"A";"1346";"A";"1207";"A";"358.5";"A"
"2020-08";"297.4";"A";"1392";"A";"550";"A";"557";"A";"816";"A";"575";"A";"777";"A";"772";"A";"970";"A";"1969";"A";"1832";"A";"2251";"A";"2609";"A";"497.6";"A"
"2020-07";"225.37";"A";"1400";"A";"464";"A";"459";"A";"650";"A";"522";"A";"644";"A";"636";"A";"770";"A";"1403";"A";"1234";"A";"1651";"A";"1713";"A";"308.6";"A"
"2020-06";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2020-05";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2020-04";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O";"";"O"
"2020-03";"";"O";"1149";"A";"168";"A";"161";"A";"236";"A";"245";"A";"303";"A";"234";"A";"218";"A";"445";"A";"395";"A";"1062";"A";"564";"A";"27.4";"A"
"2020-02";"";"O";"2425";"A";"315";"A";"368";"A";"415";"A";"498";"A";"649";"A";"418";"A";"411";"A";"862";"A";"766";"A";"1796";"A";"1038";"A";"35.6";"A"
"2020-01";"";"O";"2664";"A";"283";"A";"312";"A";"356";"A";"476";"A";"590";"A";"392";"A";"357";"A";"679";"A";"625";"A";"1388";"A";"802";"A";"26.3";"A"
"2019-12";"391.05";"A";"2682";"A";"317";"A";"347";"A";"378";"A";"519";"A";"915";"A";"383";"A";"383";"A";"747";"A";"675";"A";"1397";"A";"788";"A";"32.0";"A"
"2019-11";"339.52";"A";"2862";"A";"349";"A";"387";"A";"457";"A";"582";"A";"773";"A";"450";"A";"461";"A";"870";"A";"767";"A";"1210";"A";"843";"A";"42.0";"A"
"2019-10";"311.48";"A";"2915";"A";"435";"A";"450";"A";"533";"A";"635";"A";"857";"A";"563";"A";"548";"A";"1168";"A";"1061";"A";"1383";"A";"1158";"A";"172.0";"A"
"2019-09";"198.9";"A";"2724";"A";"453";"A";"483";"A";"584";"A";"615";"A";"885";"A";"639";"A";"693";"A";"1319";"A";"1241";"A";"1522";"A";"1405";"A";"375.0";"A"
"2019-08";"359.62";"A";"2297";"A";"535";"A";"536";"A";"720";"A";"613";"A";"873";"A";"792";"A";"919";"A";"1868";"A";"1774";"A";"1995";"A";"2024";"A";"476.0";"A"
"2019-07";"318.14";"A";"2652";"A";"498";"A";"529";"A";"618";"A";"620";"A";"840";"A";"696";"A";"729";"A";"1450";"A";"1382";"A";"1828";"A";"1627";"A";"369.0";"A"
"2019-06";"248.25";"A";"2944";"A";"508";"A";"520";"A";"645";"A";"707";"A";"914";"A";"695";"A";"693";"A";"1327";"A";"1263";"A";"1611";"A";"1484";"A";"352.0";"A"
"2019-05";"285.22";"A";"2461";"A";"432";"A";"425";"A";"548";"A";"584";"A";"772";"A";"587";"A";"597";"A";"1158";"A";"1038";"A";"1308";"A";"1192";"A";"280.0";"A"
"2019-04";"359.57";"A";"2683";"A";"430";"A";"415";"A";"549";"A";"599";"A";"768";"A";"572";"A";"589";"A";"1150";"A";"986";"A";"1340";"A";"1146";"A";"156.0";"A"
"2019-03";"383.32";"A";"2639";"A";"325";"A";"391";"A";"482";"A";"539";"A";"693";"A";"467";"A";"474";"A";"912";"A";"787";"A";"1679";"A";"1034";"A";"48.0";"A"
"2019-02";"365.91";"A";"2391";"A";"267";"A";"350";"A";"404";"A";"442";"A";"612";"A";"389";"A";"394";"A";"758";"A";"686";"A";"1570";"A";"887";"A";"33.0";"A"
"2019-01";"383.1";"A";"2441";"A";"248";"A";"295";"A";"340";"A";"443";"A";"575";"A";"378";"A";"346";"A";"659";"A";"591";"A";"1335";"A";"764";"A";"28.0";"A"
"2018-12";"346.61";"A";"2605";"A";"288";"A";"324";"A";"387";"A";"492";"A";"882";"A";"378";"A";"381";"A";"728";"A";"639";"A";"1286";"A";"786";"A";"31.0";"A"
"2018-11";"311.91";"A";"2740";"A";"327";"A";"364";"A";"447";"A";"545";"A";"750";"A";"444";"A";"449";"A";"854";"A";"699";"A";"1122";"A";"803";"A";"41.0";"A"
"2018-10";"288.56";"A";"2807";"A";"410";"A";"451";"A";"540";"A";"600";"A";"830";"A";"542";"A";"547";"A";"1150";"A";"1043";"A";"1343";"A";"1068";"A";"173.0";"A"
"2018-09";"198.35";"A";"2526";"A";"440";"A";"492";"A";"582";"A";"596";"A";"858";"A";"619";"A";"678";"A";"1310";"A";"1212";"A";"1495";"A";"1331";"A";"392.0";"A"
"2018-08";"371.78";"A";"2125";"A";"481";"A";"522";"A";"705";"A";"566";"A";"854";"A";"775";"A";"877";"A";"1794";"A";"1724";"A";"1923";"A";"1928";"A";"469.0";"A"
"2018-07";"309.96";"A";"2583";"A";"490";"A";"515";"A";"627";"A";"574";"A";"806";"A";"683";"A";"676";"A";"1399";"A";"1372";"A";"1735";"A";"1559";"A";"372.0";"A"
"2018-06";"222.27";"A";"2729";"A";"468";"A";"492";"A";"584";"A";"619";"A";"841";"A";"652";"A";"633";"A";"1215";"A";"1201";"A";"1522";"A";"1358";"A";"352.0";"A"
"2018-05";"319.98";"A";"2545";"A";"458";"A";"472";"A";"597";"A";"597";"A";"807";"A";"602";"A";"642";"A";"1210";"A";"1103";"A";"1371";"A";"1238";"A";"305.0";"A"
"2018-04";"351.83";"A";"2577";"A";"416";"A";"402";"A";"544";"A";"576";"A";"732";"A";"556";"A";"551";"A";"1073";"A";"973";"A";"1320";"A";"1102";"A";"157.0";"A"
"2018-03";"383.7";"A";"2751";"A";"343";"A";"409";"A";"445";"A";"516";"A";"699";"A";"462";"A";"474";"A";"953";"A";"802";"A";"1741";"A";"1016";"A";"43.0";"A"
"2018-02";"357.87";"A";"2365";"A";"276";"A";"338";"A";"366";"A";"434";"A";"597";"A";"387";"A";"372";"A";"710";"A";"670";"A";"1560";"A";"845";"A";"29.0";"A"
"2018-01";"375.34";"A";"2566";"A";"263";"A";"304";"A";"321";"A";"451";"A";"585";"A";"364";"A";"347";"A";"644";"A";"608";"A";"1288";"A";"748";"A";"25.0";"A"
"2017-12";"337.15";"A";"2755";"A";"294";"A";"340";"A";"375";"A";"497";"A";"925";"A";"383";"A";"379";"A";"724";"A";"673";"A";"1283";"A";"745";"A";"32.0";"A"
"2017-11";"307.54";"A";"2812";"A";"318";"A";"370";"A";"439";"A";"540";"A";"775";"A";"438";"A";"444";"A";"834";"A";"702";"A";"1114";"A";"789";"A";"44.0";"A"
"2017-10";"304.5";"A";"2843";"A";"398";"A";"449";"A";"524";"A";"593";"A";"841";"A";"494";"A";"551";"A";"1157";"A";"1046";"A";"1321";"A";"1123";"A";"179.0";"A"
